episode,seat0_wr,bot_wr,loss,epsilon,avg_game_length,vd_s0,vd_s1,vd_s2,vd_s3,buffer_size
1000,0.24,0.76,0.065267,0.9621,59.9,0.0,0.0,0.0,0.0,42060
2000,0.23,0.77,0.19127,0.924,55.3,0.0,0.0,0.0,0.0,84404
3000,0.25,0.75,1.147395,0.8852,55.5,0.0,0.0,0.0,0.0,100000
4000,0.22,0.78,1.550052,0.8475,56.3,0.0,0.0,0.0,0.0,100000
5000,0.23,0.77,1.151874,0.8101,52.3,0.0,0.0,0.0,0.0,100000
6000,0.19,0.81,1.587014,0.7725,53.0,0.0,0.0,0.0,0.0,100000
7000,0.21,0.79,1.487897,0.7346,54.2,0.0,0.0,0.0,0.0,100000
8000,0.26,0.74,7.114547,0.6982,52.2,0.0,0.0,0.0,0.0,100000
9000,0.33,0.67,4.003882,0.6606,58.5,0.0,0.0,0.0,0.0,100000
10000,0.23,0.77,0.471128,0.6228,53.3,0.0,0.0,0.0,0.0,100000
11000,0.27,0.73,1.424904,0.5851,57.5,0.0,0.0,0.0,0.0,100000
12000,0.2,0.8,0.652471,0.5473,60.6,0.0,0.0,0.0,0.0,100000
13000,0.23,0.77,1.409696,0.5091,53.5,0.0,0.0,0.0,0.0,100000
14000,0.29,0.71,0.548625,0.4714,57.8,0.0,0.0,0.0,0.0,100000
15000,0.29,0.71,0.29452,0.4329,59.0,0.0,0.0,0.0,0.0,100000
16000,0.32,0.68,0.270743,0.3953,59.1,0.0,0.0,0.0,0.0,100000
17000,0.25,0.75,0.431945,0.3582,52.6,0.0,0.0,0.0,0.0,100000
18000,0.18,0.82,0.48082,0.3206,53.7,0.0,0.0,0.0,0.0,100000
19000,0.2,0.8,0.646294,0.2829,61.1,0.0,0.0,0.0,0.0,100000
20000,0.22,0.78,0.178588,0.2451,57.0,0.0,0.0,0.0,0.0,100000
21000,0.28,0.72,0.135161,0.2067,51.4,0.0,0.0,0.0,0.0,100000
22000,0.25,0.75,0.15072,0.168,54.5,0.0,0.0,0.0,0.0,100000
23000,0.2,0.8,0.040372,0.1293,56.1,0.0,0.0,0.0,0.0,100000
24000,0.22,0.78,0.172249,0.1,56.4,0.0,0.0,0.0,0.0,100000
25000,0.16,0.84,0.17975,0.1,48.8,0.0,0.0,0.0,0.0,100000
26000,0.2,0.8,0.337655,0.1,57.9,0.0,0.0,0.0,0.0,100000
27000,0.19,0.81,0.081281,0.1,51.5,0.0,0.0,0.0,0.0,100000
28000,0.22,0.78,0.067568,0.1,55.7,0.0,0.0,0.0,0.0,100000
29000,0.18,0.82,0.179921,0.1,59.2,0.0,0.0,0.0,0.0,100000
30000,0.28,0.72,0.09613,0.1,55.1,0.0,0.0,0.0,0.0,100000
31000,0.23,0.77,0.122298,0.1,53.6,0.0,0.0,0.0,0.0,100000
32000,0.18,0.82,0.099495,0.1,49.7,0.0,0.0,0.0,0.0,100000
33000,0.26,0.74,0.110998,0.1,62.5,0.0,0.0,0.0,0.0,100000
34000,0.22,0.78,0.04947,0.1,56.3,0.0,0.0,0.0,0.0,100000
35000,0.23,0.77,0.058028,0.1,54.2,0.0,0.0,0.0,0.0,100000
36000,0.22,0.78,0.126582,0.1,57.4,0.0,0.0,0.0,0.0,100000
37000,0.21,0.79,0.067352,0.1,54.3,0.0,0.0,0.0,0.0,100000
38000,0.26,0.74,0.147009,0.1,59.6,0.0,0.0,0.0,0.0,100000
39000,0.28,0.72,0.17916,0.1,55.0,0.0,0.0,0.0,0.0,100000
40000,0.15,0.85,0.127357,0.1,53.7,0.0,0.0,0.0,0.0,100000
41000,0.19,0.81,0.11092,0.1,52.6,0.0,0.0,0.0,0.0,100000
42000,0.17,0.83,0.094435,0.1,55.7,0.0,0.0,0.0,0.0,100000
43000,0.27,0.73,0.236243,0.1,57.3,0.0,0.0,0.0,0.0,100000
44000,0.27,0.73,0.142932,0.1,49.5,0.0,0.0,0.0,0.0,100000
45000,0.27,0.73,0.147091,0.1,55.9,0.0,0.0,0.0,0.0,100000
46000,0.24,0.76,0.143809,0.1,58.0,0.0,0.0,0.0,0.0,100000
47000,0.24,0.76,0.176457,0.1,53.2,0.0,0.0,0.0,0.0,100000
48000,0.33,0.67,0.086416,0.1,59.9,0.0,0.0,0.0,0.0,100000
49000,0.27,0.73,0.059684,0.1,57.5,0.0,0.0,0.0,0.0,100000
50000,0.3,0.7,0.341899,0.1,55.2,0.0,0.0,0.0,0.0,100000
51000,0.22,0.78,0.068449,0.1,58.8,0.0,0.0,0.0,0.0,100000
52000,0.18,0.82,0.174107,0.1,56.4,0.0,0.0,0.0,0.0,100000
53000,0.21,0.79,0.414656,0.1,54.2,0.0,0.0,0.0,0.0,100000
54000,0.24,0.76,0.100495,0.1,56.8,0.0,0.0,0.0,0.0,100000
55000,0.22,0.78,0.217553,0.1,53.9,0.0,0.0,0.0,0.0,100000
56000,0.18,0.82,0.051093,0.1,55.8,0.0,0.0,0.0,0.0,100000
57000,0.25,0.75,0.094731,0.1,55.1,0.0,0.0,0.0,0.0,100000
58000,0.3,0.7,0.075714,0.1,61.1,0.0,0.0,0.0,0.0,100000
59000,0.19,0.81,0.126178,0.1,53.1,0.0,0.0,0.0,0.0,100000
60000,0.24,0.76,0.094564,0.1,61.5,0.0,0.0,0.0,0.0,100000
61000,0.18,0.82,0.045534,0.1,53.1,0.0,0.0,0.0,0.0,100000
62000,0.26,0.74,0.184544,0.1,55.3,0.0,0.0,0.0,0.0,100000
63000,0.17,0.83,0.106738,0.1,55.4,0.0,0.0,0.0,0.0,100000
64000,0.18,0.82,0.220994,0.1,63.3,0.0,0.0,0.0,0.0,100000
65000,0.21,0.79,0.023315,0.1,56.7,0.0,0.0,0.0,0.0,100000
66000,0.17,0.83,0.115767,0.1,54.8,0.0,0.0,0.0,0.0,100000
67000,0.2,0.8,0.124833,0.1,51.4,0.0,0.0,0.0,0.0,100000
68000,0.27,0.73,0.052509,0.1,55.8,0.0,0.0,0.0,0.0,100000
69000,0.22,0.78,0.33767,0.1,56.0,0.0,0.0,0.0,0.0,100000
70000,0.25,0.75,0.110039,0.1,58.4,0.0,0.0,0.0,0.0,100000
71000,0.28,0.72,0.088725,0.1,59.2,0.0,0.0,0.0,0.0,100000
72000,0.22,0.78,0.069974,0.1,55.2,0.0,0.0,0.0,0.0,100000
73000,0.16,0.84,0.24519,0.1,52.0,0.0,0.0,0.0,0.0,100000
74000,0.2,0.8,0.199096,0.1,53.0,0.0,0.0,0.0,0.0,100000
75000,0.28,0.72,0.076151,0.1,48.7,0.0,0.0,0.0,0.0,100000
76000,0.18,0.82,0.111683,0.1,49.6,0.0,0.0,0.0,0.0,100000
77000,0.3,0.7,0.056935,0.1,56.0,0.0,0.0,0.0,0.0,100000
78000,0.21,0.79,0.107923,0.1,58.1,0.0,0.0,0.0,0.0,100000
79000,0.25,0.75,0.074554,0.1,55.4,0.0,0.0,0.0,0.0,100000
80000,0.18,0.82,0.079292,0.1,55.8,0.0,0.0,0.0,0.0,100000
81000,0.25,0.75,0.039369,0.1,55.7,0.0,0.0,0.0,0.0,100000
82000,0.19,0.81,0.102618,0.1,54.9,0.0,0.0,0.0,0.0,100000
83000,0.26,0.74,0.091637,0.1,56.3,0.0,0.0,0.0,0.0,100000
84000,0.21,0.79,0.052969,0.1,55.7,0.0,0.0,0.0,0.0,100000
85000,0.25,0.75,0.072253,0.1,54.6,0.0,0.0,0.0,0.0,100000
86000,0.25,0.75,0.052635,0.1,54.9,0.0,0.0,0.0,0.0,100000
87000,0.22,0.78,0.037427,0.1,58.8,0.0,0.0,0.0,0.0,100000
88000,0.12,0.88,0.148237,0.1,53.5,0.0,0.0,0.0,0.0,100000
89000,0.11,0.89,0.350967,0.1,50.9,0.0,0.0,0.0,0.0,100000
90000,0.2,0.8,0.050572,0.1,55.0,0.0,0.0,0.0,0.0,100000
91000,0.2,0.8,0.170762,0.1,53.8,0.0,0.0,0.0,0.0,100000
92000,0.2,0.8,0.098182,0.1,60.1,0.0,0.0,0.0,0.0,100000
93000,0.23,0.77,0.372766,0.1,59.1,0.0,0.0,0.0,0.0,100000
94000,0.25,0.75,0.105669,0.1,55.9,0.0,0.0,0.0,0.0,100000
95000,0.2,0.8,0.144396,0.1,57.9,0.0,0.0,0.0,0.0,100000
96000,0.23,0.77,0.137632,0.1,54.3,0.0,0.0,0.0,0.0,100000
97000,0.22,0.78,0.073113,0.1,56.1,0.0,0.0,0.0,0.0,100000
98000,0.23,0.77,0.075838,0.1,56.8,0.0,0.0,0.0,0.0,100000
99000,0.13,0.87,0.127301,0.1,56.6,0.0,0.0,0.0,0.0,100000
100000,0.22,0.78,0.102497,0.1,55.0,0.0,0.0,0.0,0.0,100000
